"nomPrenom","labelType","type","intitule","duree","periode"
"A. Dolgui","OrgIfac","Organisation d'une conférence de l'IFAC","Chair of Steering Committee, Editor of proceedings, MIM' 2016, 540 participants, 52 pays, Troyes, France",,2016
"A. Dolgui","OrgIfac","Organisation d'une conférence de l'IFAC","Chair of IPC, Editor of proceedings, MIM' 2019, 744 participants, 51 pays, Berlin, Germany",,2019
"A. Dolgui","OrgIfac","Organisation d'un symposium de l'IFAC","Chair of IPC, Editor of proceedings, INCOM' 2015, 450 participants, 46 pays, Ottawa, Canada",,2019
"A. Dolgui","prix","Prix et/ou distinctions","Honorary Adjunct Professor in Industrial Engineering, Bandung Institute of Technology (ITB), Indonesia",,2017
"A. Dolgui","prix","Prix et/ou distinctions","IEOM Distinguished Educator Award, Industrial Engineering and Operations Management Society (IEOM)",,2018
"A. Dolgui","prix","Prix et/ou distinctions","3 papers are awarded by International Journal of Production Research as most cited papers published in the journal in 2018 ",,2019
"A. Dolgui","prix","Prix et/ou distinctions","3 papers are awarded by International Journal of Production Research as most cited papers published in the journal in 2019 ",,2020
"A. Dolgui","prix","Prix et/ou distinctions","Distinguished Fellow of International Engineering and Technology Institute (IETI), elected in 2019",,2019
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","Chair of the IFAC Technical Committee TC 5.2 « Manufacturing Modelling for Management and Contro »",,"2015-2017"
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","Vice-chair of the IFAC Technical Committee TC 5.2 « Manufacturing Modelling for Management and Control »,",,"2017-2020"
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","Member of the Board of the International Foundation for Production Research (IFPR), depuis 2005 ",,"2015-2020"
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","Active Fellow of the European Academy for Industrial Management (AIM), depuis 2013",,"2015-2020"
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","Chair of Working Group « Supply Network Engineering », IFAC TC 5.2, depuis 2005",,"2015-2020"
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","IFAC Task Force Committee on Systems and Control-Decision Research Agenda, 2015",,2015
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","IFIP Working Group 5.7 « Advances in Production Management Systems », depuis 2012",,"2015-2020"
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","IEEE Systems Council Analytics and Risk Technical Committee, depuis 2014",,"2015-2020"
"A. Dolgui","RSS","Responsabilités dans les sociétés savantes","IEEE SMC Technical Committee on Social and Economic Security, 2017 - present",,"2017-2020"
"A. Dolgui","OrgC","Organisation de conférence ","Co-chair of Scientific Committee for the International Conference on Green Supply Chain, GSC'2018, Greece, 2018 (with Joseph Sarkis)",,2018
"A. Dolgui","OrgC","Organisation de conférence","Co-Chair of International Program Committee of the 7th International Conference « Optimization Problems and Their Applications » (OPTA-2018), Omsk, Russia (with Mikhail Khachay, Panos Pardalos and Anton Eremeev)",,2018
"A. Dolgui","OrgC","Organisation de conférence","Co-président de  Scientific Committee of Annual Congress of the French Operational Research and Decision-Aid Society, ROADEF-2015, France (with Nadia Brauner and Farouk Yalaoui)",,2015
"A. Dolgui","OrgC","Organisation de conférence","co-chair of  Workshop on « Theory and Applications of Operations Research for Sustainability » at the Global Cleaner Production \& Sustainable Consumption Conference, 2015, Sitges, Barcelona, Spain (with Carlos Bana e Costa, Erwin Pesch, Joseph Sarkis, Lenny Koh)",,2015
"A. Dolgui","sejEt","Séjours dans les laboratoires étrangers (uniquement pour un séjour supérieur ou égal à 1 semaine)","(August - September), University of Chinese Academy of Sciences, Beijing, China",,2015
"A. Dolgui","sejEt","Séjours dans les laboratoires étrangers (uniquement pour un séjour supérieur ou égal à 1 semaine)","(two weeks), Bandung Institute of Technology, Bandung, Indonesia",,2017
"A. Dolgui","sejEt","Séjours dans les laboratoires étrangers (uniquement pour un séjour supérieur ou égal à 1 semaine)","(two weeks), Bandung Institute of Technology, Bandung, Indonesia",,2018
"A. Dolgui","sejEt","Séjours dans les laboratoires étrangers (uniquement pour un séjour supérieur ou égal à 1 semaine)","(one week), Fuzhou University, China",,2019
"A. Dolgui","juryInt","Invitation dans des jurys internationaux","Jury d'évaluation du projet d'excellence du département Production and Management Engineering de Politecnico di Torino, Italie suite à l'appel du gouvernement italien",,"2017-2020"
"A. Dolgui","mbrConseil","Membre étranger du conseil de l'école doctorale","Foreign Member of the Scientific Committee of the Ph.D School in Mechatronics and Product Innovation Engineering of the University of Padua, Italy, since 2013",,"2015-2020"
